timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio
3,A11,46,8_10,DI72,TBSV,30.325,33.31,-2.985,0.594621514
1,G02,25,3_23,DI72,TBSV_DI72,15.025,13.93,1.095,0.613445378
1,C10,27,4_9,DI72,TBSV,15.5,16.92,-1.42,0.625550661
2,G05,40,8_10,DI72,TBSV_DI73,16.97,20.1,-3.13,0.649377593
2,C05,36,8_1,DI72,TBSV,15.485,17.165,-1.68,0.651162791
3,E11,45,8_1,DI72,TBSV_DI72,18.71,17.665,1.045,0.672025723
2,A10,16,4_9,DI72,TBSV,17.41,14.23,3.18,0.686825054
3,G08,2,8_1,DI72,TBSV_DI73,16.85,17.68,-0.83,0.734513274
2,C12,8,4_9,DI72,TBSV,17.005,13.115,3.89,0.848418757
3,C02,9,8_1,DI72,TBSV,18.31,13.64,4.67,0.857667585
3,E05,15,8_10,DI72,TBSV_DI72,18.27,22.91,-4.64,0.882129278
3,E02,33,8_1,DI72,TBSV_DI72,17.33,14.735,2.595,0.931777379
2,G08,16,8_10,DI72,TBSV_DI73,15.71,19.94,-4.23,1
2,E05,23,8_1,DI72,TBSV_DI72,16.24,14.06,2.18,1.055690073
3,H08,16,8_10,DI72,TBSV_DI73,15.62,20.11,-4.49,1.063981043
3,G09,17,3_23,DI72,TBSV_DI72,17.05,13.485,3.565,1.086890244
1,E02,5,8_1,DI72,TBSV_DI72,16.11,15.67,0.44,1.189189189
3,G06,7,3_23,DI72,TBSV_DI72,16.015,18.03,-2.015,1.21021021
3,E08,22,8_1,DI72,TBSV_DI72,18.775,13.615,5.16,1.296482412
3,H05,40,8_10,DI72,TBSV_DI73,16.46,21.16,-4.7,1.316526611
3,E02,18,3_23,DI72,TBSV_DI72,16.615,13.055,3.56,1.47107438
1,E08,39,8_1,DI72,TBSV_DI72,14.675,11.815,2.86,1.505263158
3,A11,10,4_9,DI72,TBSV_DI73,20.005,16.095,3.91,1.844339623
1,G02,30,8_1,DI72,TBSV_DI73,16.33,23.16333333,-6.833333333,2.041832669
3,G03,28,4_9,DI72,TBSV,23.095,12.69,10.405,2.276805252
1,A09,8,8_1,DI73,TBSV_DI73,25.59333333,36.46,-10.86666667,2.725752509
1,A03,35,8_1,DI73,TBSV_DI73,24.11,8.26,15.85,2.792951542
1,G06,26,4_9,DI72,TBSV_DI73,14.71,13.375,1.335,2.810526316
3,G05,29,8_10,DI72,TBSV_DI73,27.22,40.1,-12.88,2.830769231
2,C11,52,8_10,DI72,TBSV_DI72,16.33,21.535,-5.205,3.315286624
1,C06,50,8_10,DI73,TBSV,29.365,11.065,18.3,3.348581885
2,G08,37,8_1,DI72,TBSV_DI73,19.1005,25.17,-6.0695,3.52877907
3,C05,21,8_1,DI72,TBSV,16.325,17.29,-0.965,4.948717949
1,A11,33,4_9,DI73,TBSV,29.08,13.195,15.885,5.544502618
1,E03,47,8_10,DI73,TBSV_DI72,31.035,14.92,16.115,5.946494465
2,A12,26,8_10,DI73,TBSV,38.78,10.695,28.085,9.440336134
2,E11,41,8_1,DI72,TBSV_DI72,16.1,13.705,2.395,10.41304348
1,E09,39,8_1,DI73,TBSV_DI72,32.085,12.1005,19.9845,10.51815789
2,C12,17,8_1,DI73,TBSV_DI72,31.57,18.175,13.395,10.54724409
1,G09,9,3_23,DI72,TBSV_DI72,23.72,13.955,9.765,13.65734266
3,E03,27,8_1,DI73,TBSV_DI73,34.505,19.985,14.52,23.41935484
2,G05,15,8_1,DI72,TBSV_DI73,18.79,15.53,3.26,25.07692308
2,E03,7,8_1,DI73,TBSV_DI72,30.07,17.11,12.96,26.72164948
1,G07,26,4_9,DI73,TBSV_DI73,26.82,12.82,14,29.47368421
1,E03,5,8_1,DI73,TBSV_DI72,30.195,17.68,12.515,33.82432432
3,C12,6,3_23,DI72,TBSV,30.925,16.21,14.715,35.8902439
1,E06,13,8_1,DI73,TBSV_DI72,33.41,17.215,16.195,52.24193548
2,E08,38,8_1,DI72,TBSV_DI72,17.34,14.585,2.755,55.1
2,G06,15,8_1,DI73,TBSV_DI73,24.365,15.755,8.61,66.23076923
2,E12,41,8_1,DI73,TBSV_DI72,35.74,17.255,18.485,80.36956522
