timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwrneg_ddct,log_2pwrneg_ddct
2,E04,23,8_1,TBSV,TBSV_DI72,17.665,15.6,2.065,3.74598,0.074532838,-1.127652343
2,C10,17,8_1,TBSV,TBSV_DI72,18.24,16.97,1.27,2.95098,0.12932024,-0.888333497
2,E10,31,8_10,TBSV,TBSV_DI72,21.59,11.7,9.89,11.57098,0.000328691,-3.483212059
2,C01,8,8_10,TBSV,TBSV_DI73,12.955,18.19,-5.235,-3.55402,11.74536791,1.069866625
2,C01,24,8_1,TBSV,TBSV_DI73,13.025,17.105,-4.08,-2.39902,5.274447577,0.72217698
2,C04,48,8_10,TBSV,TBSV_DI73,13.47,15.965,-2.495,-0.81402,1.758103494,0.245044437
2,C04,34,8_1,TBSV,TBSV_DI73,13.485,18.055,-4.57,-2.88902,7.407670872,0.869681678
2,E04,30,4_9,TBSV,TBSV_DI73,13.725,15.215,-1.49,0.19098,0.876010459,-0.057490709
2,G01,14,4_9,TBSV,TBSV_DI73,13.74,17.03,-3.29,-1.60902,3.050445594,0.484363284
2,G07,16,8_10,TBSV,TBSV_DI73,14.05,18.28,-4.23,-2.54902,5.852366013,0.76733148
2,G01,25,8_10,TBSV,TBSV_DI73,14.06,17.38,-3.32,-1.63902,3.114541941,0.493394183
2,G08,3,4_9,TBSV,TBSV_DI73,14.38,14.39,-0.01,1.67098,0.314039949,-0.503015102
2,G04,40,8_10,TBSV,TBSV_DI73,14.44,19.26,-4.82,-3.13902,8.809254906,0.944939177
2,G07,37,8_1,TBSV,TBSV_DI73,14.565,16.285,-1.72,-0.03902,1.027415682,0.01174619
2,E01,22,4_9,TBSV,TBSV_DI73,14.765,16.28,-1.515,0.16598,0.891322852,-0.049964959
2,G04,15,8_1,TBSV,TBSV_DI73,15.305,15.175,0.13,1.81098,0.284997269,-0.545159302
2,G01,20,8_1,TBSV,TBSV_DI73,16.33,17.775,-1.445,0.23598,0.849108018,-0.071037058
2,G05,21,4_9,TBSV,TBSV_DI73,17.07,16.11,0.96,2.64098,0.160319298,-0.795014198
3,A10,46,8_10,TBSV,TBSV,13.075,18.095,-5.02,-3.33902,10.11917662,1.005145176
3,C07,13,8_10,TBSV,TBSV,13.395,20.495,-7.1,-5.41902,42.78460897,1.631287567
3,A09,5,3_23,TBSV,TBSV,13.51,15.195,-1.685,-0.00402,1.002790337,0.001210141
3,C01,32,8_10,TBSV,TBSV,13.87,22.94,-9.07,-7.38902,167.6164578,2.224316659
3,A06,16,3_23,TBSV,TBSV,14.27,15.44,-1.17,0.51098,0.701745591,-0.153820307
3,C09,19,3_23,TBSV,TBSV,14.28,18.49,-4.21,-2.52902,5.771794761,0.76131088
3,C04,23,8_10,TBSV,TBSV,14.495,22.765,-8.27,-6.58902,96.27037467,1.983492662
3,C06,20,3_23,TBSV,TBSV,15.04,17.485,-2.445,-0.76402,1.698216035,0.229992937
3,C07,31,8_1,TBSV,TBSV,15.07,19.71,-4.64,-2.95902,7.775955701,0.890753778
3,A07,12,8_1,TBSV,TBSV,15.93,18.31,-2.38,-0.69902,1.623401667,0.210425988
3,A12,6,3_23,TBSV,TBSV,15.985,15.575,0.41,2.09098,0.234721191,-0.6294477
3,A07,24,8_10,TBSV,TBSV,16.31,17.41,-1.1,0.58098,0.668509515,-0.174892407
3,G07,11,4_9,TBSV,TBSV,16.91,19.4,-2.49,-0.80902,1.752020918,0.243539287
3,C04,21,8_1,TBSV,TBSV,17.41,17.605,-0.195,1.48598,0.357005944,-0.447324553
3,E07,24,4_9,TBSV,TBSV,17.51,17.96,-0.45,1.23098,0.426027953,-0.370561904
3,E04,5,4_9,TBSV,TBSV,17.665,18.655,-0.99,0.69098,0.619432936,-0.208005706
3,G04,28,4_9,TBSV,TBSV,18.09,13.52,4.57,6.25098,0.013130084,-1.881732482
3,G01,19,4_9,TBSV,TBSV,19.395,19.98,-0.585,1.09598,0.467818234,-0.329922855
3,A10,40,8_1,TBSV,TBSV,19.515,14.14,5.375,7.05598,0.007515162,-2.124061629
3,C01,9,8_1,TBSV,TBSV,19.77,14.325,5.445,7.12598,0.007159229,-2.145133729
3,G05,7,3_23,TBSV,TBSV_DI72,14.775,16.44,-1.665,0.01598,0.988984627,-0.004810459
3,E04,15,8_10,TBSV,TBSV_DI72,15.265,20.525,-5.26,-3.57902,11.95067333,1.077392375
3,E01,18,3_23,TBSV,TBSV_DI72,16.03,13.61,2.42,4.10098,0.058274963,-1.234517992
3,G01,4,3_23,TBSV,TBSV_DI72,16.49,16.27,0.22,1.90098,0.267761418,-0.572252001
3,E04,19,3_23,TBSV,TBSV_DI72,16.555,16.835,-0.28,1.40098,0.378671828,-0.421737003
3,E10,45,8_1,TBSV,TBSV_DI72,16.91,15.355,1.555,3.23598,0.106138502,-0.974127045
3,G08,17,3_23,TBSV,TBSV_DI72,17.275,13.995,3.28,4.96098,0.03210674,-1.493403788
3,E04,42,8_1,TBSV,TBSV_DI72,17.595,17.65,-0.055,1.62598,0.323989733,-0.489468752
3,C10,3,8_1,TBSV,TBSV_DI72,17.855,18.685,-0.83,0.85098,0.554408007,-0.256170506
3,E07,22,8_1,TBSV,TBSV_DI72,18.36,14.38,3.98,5.66098,0.019764017,-1.704124785
3,E01,33,8_1,TBSV,TBSV_DI72,18.685,15.9,2.785,4.46598,0.045248695,-1.34439394
3,E10,18,8_10,TBSV,TBSV_DI72,21.755,18.26,3.495,5.17598,0.027661439,-1.558125237
3,E07,35,8_10,TBSV,TBSV_DI72,24.915,17.44,7.475,9.15598,0.001752974,-2.75622462
3,H07,16,8_10,TBSV,TBSV_DI73,13.29,17.51,-4.22,-2.53902,5.811940768,0.76432118
3,C07,33,8_10,TBSV,TBSV_DI73,13.44,29.31,-15.87,-14.18902,18677.58102,4.271320629
3,H01,25,8_10,TBSV,TBSV_DI73,13.86,18.21,-4.35,-2.66902,6.359970175,0.803455079
3,G04,29,8_10,TBSV,TBSV_DI73,14.07,18.62,-4.55,-2.86902,7.305687278,0.863661078
3,C09,6,4_9,TBSV,TBSV_DI73,14.31,20.68,-6.37,-4.68902,25.7950082,1.41153567
3,G07,7,8_10,TBSV,TBSV_DI73,14.32,18.88,-4.56,-2.87902,7.356502351,0.866671378
3,H04,40,8_10,TBSV,TBSV_DI73,14.53,18.1,-3.57,-1.88902,3.703835436,0.568651682
3,G04,29,8_1,TBSV,TBSV_DI73,14.93,17.19,-2.26,-0.57902,1.493834166,0.174302388
3,C10,1,8_10,TBSV,TBSV_DI73,15.155,22.06,-6.905,-5.22402,37.37547476,1.572586718
3,G07,2,8_1,TBSV,TBSV_DI73,16.085,17.215,-1.13,0.55098,0.682556321,-0.165861507
3,C12,15,4_9,TBSV,TBSV_DI73,16.705,17.125,-0.42,1.26098,0.417260425,-0.379592804
3,A05,32,4_9,TBSV,TBSV_DI73,17.02,17.34,-0.32,1.36098,0.389317743,-0.409695803
3,G01,34,8_10,TBSV,TBSV_DI73,17.09,22.93,-5.84,-4.15902,17.86445504,1.251989773
3,G01,50,8_1,TBSV,TBSV_DI73,17.385,17.415,-0.03,1.65098,0.318423783,-0.496994502
3,A08,4,4_9,TBSV,TBSV_DI73,17.68,17.565,0.115,1.79598,0.287975903,-0.540643852
3,E01,27,8_1,TBSV,TBSV_DI73,17.87,17.25,0.62,2.30098,0.202925208,-0.692663999
3,A12,10,4_9,TBSV,TBSV_DI73,19.12,17,2.12,3.80098,0.071744895,-1.144208993
3,E04,49,8_1,TBSV,TBSV_DI73,13.1005,15.31,-2.2095,-0.52852,1.442448689,0.159100373
