timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwr_negddct,log_2pwr_negddct,,,,,,
3,A01,,8_1,TBSV,pos_ctrl,9.345,21.92,-12.575,-9.484583333,716.3810343,2.85514408,,,,10.00333333,0.000974309,-3.01130339
3,A01,,8_10,TBSV,pos_ctrl,8.66,33.275,-24.615,-21.52458333,3016791.026,6.479545228,,,,12.15,0.000220032,-3.657514447
,,,,,,,,,,,,,,,-11.56666667,3033.287787,3.481913617
,,,,,,,,,,,,,,,-10.58666667,1537.815453,3.186904221
,,,,,,,,,,,,,,,12.09375,0.00022878,-3.64058151
,,,,,,,,,,,,,,,13.12041667,0.000112295,-3.949638972
,,,,,,,,,,,,,,,-13.98458333,16209.85239,4.20977906
,,,,,,,,,,,,,,,-11.22958333,2401.272361,3.380441422
,,,,,,,,,,,,,,,18.19888889,3.32345E-06,-5.478411443
,,,,,,,,,,,,,,,-10.31611111,1274.849398,3.105458883
,,,,,,,,,,,,,,,-9.201111111,588.5866912,2.769810438
,,,,,,,,,,,,,,,8.393888889,0.00297295,-2.526812336
,,,,,,,,,,,,,,,-8.967777778,500.6913696,2.699570106
,,,,,,,,,,,,,,,-7.317777778,159.5403765,2.202870613
,,,,,,,,,,,,,,,-6.785833333,110.3416259,2.042739379
,,,,,,,,,,,,,,,0.079166667,0.946604269,-0.023831541
,,,,,,,,,,,,,,,-5.470833333,44.34911263,1.646884935
,,,,,,,,,,,,,,,1.139166667,0.454021755,-0.342923337
,,,,,,,,,,,,,,,-0.595,1.510472586,0.179112847
,,,,,,,,,,,,,,,16.87,8.3488E-06,-5.078376027
,,,,,,,,,,,,,,,13.2,0.000106268,-3.973595943
,,,,,,,,,,,,,,,15.67333333,1.91362E-05,-4.718143465
,,,,,,,,,,,,,,,15.94,1.59068E-05,-4.798418131
,,,,,,,,,,,,,,,-1.681666667,3.207983378,0.506232109
,,,,,,,,,,,,,,,-23.48166667,11713482.01,7.068686015
,,,,,,,,,,,,,,,12.39,0.000186311,-3.729761646
,,,,,,,,,,,,,,,15.13333333,2.78236E-05,-4.555587268
,,,,,,,,,,,,,,,-12.24666667,4859.750953,3.686614014
,,,,,,,,,,,,,,,-5.751666667,53.87957877,1.731424192
,,,,,,,,,,,,,,,11.06708333,0.000466097,-3.331524048
,,,,,,,,,,,,,,,12.77708333,0.000142467,-3.84628534
,,,,,,,,,,,,,,,-10.43458333,1383.956933,3.141122576
,,,,,,,,,,,,,,,-24.00458333,16830600.7,7.226099617
,,,,,,,,,,,,,,,17.15555556,6.84957E-06,-5.164336815
,,,,,,,,,,,,,,,-1.221111111,2.331261935,0.367591072
,,,,,,,,,,,,,,,-11.12611111,2235.080551,3.34929318
,,,,,,,,,,,,,,,6.570555556,0.01052121,-1.97793431
,,,,,,,,,,,,,,,2.597222222,0.165256369,-0.781841794
,,,,,,,,,,,,,,,-1.362777778,2.571798795,0.410236989
