timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct
3,G07,11,4_9,TBSV,TBSV,16.91,19.4,-2.49
3,E10,45,8_1,TBSV,TBSV_DI72,16.91,15.355,1.555
3,C11,3,8_1,DI72,TBSV_DI72,16.935,9.93,7.005
2,G05,40,8_10,DI72,TBSV_DI73,16.97,20.1,-3.13
1,G01,25,3_23,TBSV,TBSV_DI72,17.005,15.22,1.785
2,C12,8,4_9,DI72,TBSV,17.005,13.115,3.89
3,A05,32,4_9,TBSV,TBSV_DI73,17.02,17.34,-0.32
3,A08,24,8_10,DI72,TBSV,17.025,11.34,5.685
3,G09,17,3_23,DI72,TBSV_DI72,17.05,13.485,3.565
2,G05,21,4_9,TBSV,TBSV_DI73,17.07,16.11,0.96
1,E01,47,8_10,TBSV,TBSV_DI72,17.075,14.365,2.71
3,G01,34,8_10,TBSV,TBSV_DI73,17.09,22.93,-5.84
2,C10,3,3_23,DI72,TBSV,17.1005,17.775,-0.6745
1,C11,12,8_10,DI72,TBSV_DI72,17.1005,15.125,1.9755
1,A08,38,8_10,DI72,TBSV_DI73,17.205,19.01,-1.805
1,C08,22,8_10,DI72,TBSV,17.21,16.665,0.545
3,G05,29,8_1,DI72,TBSV_DI73,17.23,17.625,-0.395
2,C08,48,8_1,DI72,TBSV,17.23,16.75,0.48
3,G02,50,8_1,DI72,TBSV_DI73,17.27,16.995,0.275
3,G08,17,3_23,TBSV,TBSV_DI72,17.275,13.995,3.28
3,E02,33,8_1,DI72,TBSV_DI72,17.33,14.735,2.595
2,E08,38,8_1,DI72,TBSV_DI72,17.34,14.585,2.755
1,C11,11,8_1,DI72,TBSV_DI72,17.365,16.89,0.475
1,A01,35,8_1,TBSV,TBSV_DI73,17.38,11.705,5.675
3,G01,50,8_1,TBSV,TBSV_DI73,17.385,17.415,-0.03
1,C08,43,8_1,DI72,TBSV,17.4,14.72,2.68
2,A10,16,4_9,DI72,TBSV,17.41,14.23,3.18
3,C04,21,8_1,TBSV,TBSV,17.41,17.605,-0.195
2,E01,11,3_23,TBSV,TBSV_DI72,17.42,16.62,0.8
2,A07,10,3_23,DI72,TBSV,17.43,16.73,0.7
1,A11,3,8_10,DI72,TBSV_DI73,17.5,15.76,1.74
3,E07,24,4_9,TBSV,TBSV,17.51,17.96,-0.45
1,E11,10,8_1,DI72,TBSV_DI72,17.515,18.335,-0.82
1,E08,17,8_10,DI72,TBSV_DI72,17.565,18,-0.435
3,E04,42,8_1,TBSV,TBSV_DI72,17.595,17.65,-0.055
3,E11,18,8_10,DI72,TBSV_DI72,17.605,19.1005,-1.4955
1,E11,27,8_10,DI72,TBSV_DI72,17.64,12.835,4.805
3,E04,5,4_9,TBSV,TBSV,17.665,18.655,-0.99
2,E04,23,8_1,TBSV,TBSV_DI72,17.665,15.6,2.065
3,A08,4,4_9,TBSV,TBSV_DI73,17.68,17.565,0.115
3,C10,3,8_1,TBSV,TBSV_DI72,17.855,18.685,-0.83
1,G08,16,8_1,DI72,TBSV_DI73,17.865,18.91,-1.045
3,E01,27,8_1,TBSV,TBSV_DI73,17.87,17.25,0.62
2,A08,32,8_1,DI72,TBSV,17.88,17.15,0.73
1,E02,47,8_10,DI72,TBSV_DI72,17.9,16.35,1.55
1,E04,13,8_1,TBSV,TBSV_DI72,17.915,17.605,0.31
3,G04,28,4_9,TBSV,TBSV,18.09,13.52,4.57
3,A11,40,8_1,DI72,TBSV,18.135,16.305,1.83
1,A07,30,3_23,DI72,TBSV,18.15,13.155,4.995
2,A10,26,8_10,TBSV,TBSV,18.195,15.22,2.975
2,C10,17,8_1,TBSV,TBSV_DI72,18.24,16.97,1.27
1,G09,2,8_10,DI73,TBSV_DI73,18.265,17.475,0.79
3,E05,15,8_10,DI72,TBSV_DI72,18.27,22.91,-4.64
3,C02,9,8_1,DI72,TBSV,18.31,13.64,4.67
3,E07,22,8_1,TBSV,TBSV_DI72,18.36,14.38,3.98
3,E08,35,8_10,DI72,TBSV_DI72,18.44,20.085,-1.645
3,E01,33,8_1,TBSV,TBSV_DI72,18.685,15.9,2.785
3,E11,45,8_1,DI72,TBSV_DI72,18.71,17.665,1.045
3,E08,22,8_1,DI72,TBSV_DI72,18.775,13.615,5.16
2,G05,15,8_1,DI72,TBSV_DI73,18.79,15.53,3.26
2,C06,48,8_10,DI73,TBSV_DI73,18.825,15.99,2.835
2,G08,37,8_1,DI72,TBSV_DI73,19.1005,25.17,-6.0695
3,A12,10,4_9,TBSV,TBSV_DI73,19.12,17,2.12
3,C08,31,8_1,DI72,TBSV,19.125,18.415,0.71
2,C01,19,8_1,TBSV,TBSV,19.15,15.37,3.78
2,G06,21,4_9,DI72,TBSV_DI73,19.185,14.84,4.345
3,C07,20,3_23,DI72,TBSV,19.27,18.095,1.175
2,C03,8,8_10,DI73,TBSV_DI73,19.285,17.095,2.19
3,C08,6,4_9,DI72,TBSV_DI73,19.365,20.935,-1.57
3,G01,19,4_9,TBSV,TBSV,19.395,19.98,-0.585
