timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,dct_ratio,ddct_ratio
2,G02,25,8_10,DI72,TBSV_DI73,22.08,19.67,2.41,-49.377,-0.725903614,25.86537454
1,C08,43,8_1,DI72,TBSV,17.4,14.72,2.68,-49.107,-0.635824437,17.51319544
3,C08,33,8_10,DI72,TBSV_DI73,27.375,17.51,9.865,-41.922,-0.621613106,2.899370634
1,G03,30,8_1,DI73,TBSV_DI73,24.57666667,19.05666667,5.52,-65.635,-0.606280193,33.90821422
1,E03,28,3_23,DI73,TBSV_DI72,28.68,17.82,10.86,-60.295,-0.597605893,0.08423584
2,C11,17,8_1,DI72,TBSV_DI72,16.335,17.09,-0.755,-52.542,-0.594488189,-19.59791123
2,A11,26,8_10,DI72,TBSV,15.535,17.29,-1.755,-53.542,-0.589915966,-12.20747834
2,G06,21,3_23,DI72,TBSV_DI72,19.72,17.47,2.25,-49.537,-0.588235294,20.52071251
2,A10,2,3_23,DI72,TBSV,20.52,18.51,2.01,-49.777,-0.552957359,22.3817446
1,A12,14,8_1,DI73,TBSV,27.26,18.99,8.27,-62.885,-0.538694075,0.04840582
3,E06,15,8_10,DI73,TBSV_DI72,34.825,24.22,10.605,-60.55,-0.495992456,0.0635673
3,C07,20,3_23,DI72,TBSV,19.27,18.095,1.175,-50.612,-0.480572597,48.94777563
2,E03,39,8_10,DI73,TBSV_DI72,29.67,18.075,11.595,-59.56,-0.460112117,0.065883143
3,H09,16,8_10,DI73,TBSV_DI73,26.54,17.04,9.5,-61.655,-0.444210526,0.045559971
3,C09,13,8_10,DI73,TBSV,29.32,13.29,16.03,-55.125,-0.442919526,0.103201814
2,C06,34,8_1,DI73,TBSV_DI73,29.66,19.335,10.325,-60.83,-0.442615012,19.2560937
3,G09,7,8_10,DI73,TBSV_DI73,32.72,22.09,10.63,-60.525,-0.4289746,0.052028088
3,E11,18,8_10,DI72,TBSV_DI72,17.605,19.1005,-1.4955,-53.2825,-0.427896996,-10.8606808
2,G09,16,8_10,DI73,TBSV_DI73,26.62,16.65,9.97,-61.185,-0.424272818,0.046073384
2,C11,3,3_23,DI73,TBSV,32.125,17.56,14.565,-56.59,-0.389289392,0.075260647
2,G06,40,8_10,DI73,TBSV_DI73,30.39,17.99,12.4,-58.755,-0.388709677,17.23525961
3,G03,34,8_10,DI73,TBSV_DI73,39.62,24.14,15.48,-55.675,-0.377260982,12.57055769
1,C11,11,8_1,DI72,TBSV_DI72,17.365,16.89,0.475,-51.312,-0.368217054,-424.0661157
1,A06,4,8_1,DI73,TBSV_DI73,27.135,17.99,9.145,-62.01,-0.350464735,0.028930818
1,G06,14,8_10,DI73,TBSV_DI73,26.575,17.785,8.79,-62.365,-0.348122867,0.026441113
2,A08,32,8_1,DI72,TBSV,17.88,17.15,0.73,-51.057,-0.320879121,59.09375
2,A07,10,3_23,DI72,TBSV,17.43,16.73,0.7,-51.087,-0.313901345,62.37728938
1,G09,16,8_1,DI73,TBSV_DI73,30.11,20.04,10.07,-61.085,-0.253723932,0.018728002
3,H06,40,8_10,DI73,TBSV_DI73,32.89,18.44,14.45,-56.705,-0.247058824,26.26447429
1,G04,18,4_9,DI73,TBSV_DI73,31.135,16.37,14.765,-56.39,-0.2346766,0.036424898
2,C08,17,4_9,DI73,TBSV,39.765,18.555,21.21,-49.945,-0.234323432,0.071258384
1,C11,27,4_9,DI73,TBSV,26.175,16.325,9.85,-61.305,-0.230456853,0.014011908
2,C09,48,8_1,DI73,TBSV,29.62,18.095,11.525,-59.63,-0.223427332,0.019520376
2,G07,21,3_23,DI73,TBSV_DI72,34.28,17.015,17.265,-53.89,-0.221546481,0.044794953
3,E08,35,8_10,DI72,TBSV_DI72,18.44,20.085,-1.645,-53.432,-0.22006689,-6.013054243
2,C06,42,8_10,DI73,TBSV,41.115,17.175,23.94,-47.215,-0.206558062,0.074849095
3,C09,33,8_10,DI73,TBSV_DI73,100,21.71,78.29,7.135,-0.202707881,-0.493464278
2,C08,12,3_23,DI73,TBSV,36.78,17.195,19.585,-51.57,-0.188664794,0.044289315
2,C08,48,8_1,DI72,TBSV,17.23,16.75,0.48,-51.307,-0.186407767,44.07817869
1,A02,35,8_1,DI72,TBSV_DI73,9.97,11.01,-1.04,-52.827,-0.183259912,-7.455122777
1,E09,17,8_10,DI73,TBSV_DI72,27.425,16.365,11.06,-60.095,-0.180379747,0.009717947
2,E06,49,8_10,DI73,TBSV_DI72,37.185,18.43,18.755,-52.4,-0.1626233,0.031278626
