timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,phenotype,recovery
2,A11,16,4_9,DI73,TBSV,100,15.41,84.59,0.054734602,3,Y
2,A10,16,4_9,DI72,TBSV,17.41,14.23,3.18,0.686825054,3,Y
2,C12,8,4_9,DI72,TBSV,17.005,13.115,3.89,0.848418757,4,Y
2,G06,21,4_9,DI72,TBSV_DI73,19.185,14.84,4.345,4.526041667,4,N
3,E05,24,4_9,DI73,TBSV,100,20.62,79.38,-176.4,4,N
3,C01,19,4_9,DI73,TBSV,100,18.1,81.9,-140,4,N
3,E02,5,4_9,DI73,TBSV,100,20.925,79.075,-79.87373737,4,N
3,E06,24,4_9,DI72,TBSV,30.81,17.375,13.435,-29.85555556,4,N
3,C11,15,4_9,DI72,TBSV_DI73,28.53,16.03,12.5,-29.76190476,3.5,N
3,E03,5,4_9,DI72,TBSV,31.93,18.66,13.27,-13.4040404,4,N
3,A04,32,4_9,DI72,TBSV_DI73,20.585,17.06,3.525,-11.015625,4,N
3,E01,19,4_9,DI72,TBSV,21.55,16.32,5.23,-8.94017094,4,N
3,G06,11,4_9,DI72,TBSV,23.865,17.265,6.6,-2.65060241,4,N
3,G05,11,4_9,DI73,TBSV,100,18.535,81.465,-0.030565273,4,N
3,C10,15,4_9,DI73,TBSV_DI73,100,17.375,82.625,-0.005083207,3.5,N
3,A03,32,4_9,DI73,TBSV_DI73,100,18.93,81.07,-0.003947206,4,N
3,A06,4,4_9,DI73,TBSV_DI73,100,15.96,84.04,0.001368396,4,N
3,A10,10,4_9,DI73,TBSV_DI73,100,17.59,82.41,0.025725033,4,Y
3,G02,28,4_9,DI73,TBSV,100,13.695,86.305,0.052951741,4,N
3,C08,6,4_9,DI72,TBSV_DI73,19.365,20.935,-1.57,0.246467818,4,N
3,A11,10,4_9,DI72,TBSV_DI73,20.005,16.095,3.91,1.844339623,4,Y
3,A09,6,4_9,DI73,TBSV_DI73,29.985,33.43,-3.445,1.849056604,4,N
3,G03,28,4_9,DI72,TBSV,23.095,12.69,10.405,2.276805252,4,N
3,A07,4,4_9,DI72,TBSV_DI73,30.355,15.33,15.025,130.6521739,4,N
1,A09,51,8_1,DI73,TBSV,29.425,16.095,13.33,-7.304109589,2,N
1,C09,43,8_1,DI73,TBSV,26.925,17.905,9.02,-2.139976275,2,N
1,E05,13,8_1,DI72,TBSV_DI72,16.265,16.855,-0.59,-1.903225806,2,N
1,C02,18,8_1,DI72,TBSV,16.1005,13.99,2.1105,-1.773529412,2,N
1,C06,26,8_1,DI73,TBSV,30.515,19.87,10.645,-1.743652744,2,N
1,A08,51,8_1,DI72,TBSV,16.525,14.73,1.795,-0.983561644,2,N
1,C08,43,8_1,DI72,TBSV,17.4,14.72,2.68,-0.635824437,2,N
1,G03,30,8_1,DI73,TBSV_DI73,24.57666667,19.05666667,5.52,-0.606280193,2,N
1,A12,14,8_1,DI73,TBSV,27.26,18.99,8.27,-0.538694075,2,N
