timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,method
2,G06,40,8_10,DI73,TBSV_DI73,30.39,17.99,12.4,-0.388709677,agro
3,G03,34,8_10,DI73,TBSV_DI73,39.62,24.14,15.48,-0.377260982,agro
1,C11,11,8_1,DI72,TBSV_DI72,17.365,16.89,0.475,-0.368217054,agro
1,A06,4,8_1,DI73,TBSV_DI73,27.135,17.99,9.145,-0.350464735,agro
1,G06,14,8_10,DI73,TBSV_DI73,26.575,17.785,8.79,-0.348122867,agro
2,A08,32,8_1,DI72,TBSV,17.88,17.15,0.73,-0.320879121,agro
2,A07,10,3_23,DI72,TBSV,17.43,16.73,0.7,-0.313901345,agro
1,G09,16,8_1,DI73,TBSV_DI73,30.11,20.04,10.07,-0.253723932,agro
3,H06,40,8_10,DI73,TBSV_DI73,32.89,18.44,14.45,-0.247058824,agro
1,G04,18,4_9,DI73,TBSV_DI73,31.135,16.37,14.765,-0.2346766,agro
2,C08,17,4_9,DI73,TBSV,39.765,18.555,21.21,-0.234323432,agro
1,C11,27,4_9,DI73,TBSV,26.175,16.325,9.85,-0.230456853,agro
2,C09,48,8_1,DI73,TBSV,29.62,18.095,11.525,-0.223427332,agro
2,G07,21,3_23,DI73,TBSV_DI72,34.28,17.015,17.265,-0.221546481,agro
3,E08,35,8_10,DI72,TBSV_DI72,18.44,20.085,-1.645,-0.22006689,agro
2,C06,42,8_10,DI73,TBSV,41.115,17.175,23.94,-0.206558062,agro
3,C09,33,8_10,DI73,TBSV_DI73,100,21.71,78.29,-0.202707881,agro
2,C08,12,3_23,DI73,TBSV,36.78,17.195,19.585,-0.188664794,agro
2,C08,48,8_1,DI72,TBSV,17.23,16.75,0.48,-0.186407767,agro
1,A02,35,8_1,DI72,TBSV_DI73,9.97,11.01,-1.04,-0.183259912,agro
1,E09,17,8_10,DI73,TBSV_DI72,27.425,16.365,11.06,-0.180379747,agro
2,E06,49,8_10,DI73,TBSV_DI72,37.185,18.43,18.755,-0.1626233,agro
3,C08,31,8_1,DI72,TBSV,19.125,18.415,0.71,-0.153017241,agro
2,C06,36,8_1,DI73,TBSV,29.235,12.11,17.125,-0.150656934,agro
2,G03,20,8_1,DI73,TBSV_DI73,29.5,18.06,11.44,-0.126311189,agro
3,G07,7,3_23,DI73,TBSV_DI72,30.075,16.71,13.365,-0.124579125,agro
1,E12,10,8_1,DI73,TBSV_DI72,31.33,18.7,12.63,-0.109659541,agro
1,C12,11,8_1,DI73,TBSV_DI72,28.95,16.94,12.01,-0.107410491,agro
1,C05,26,8_1,DI72,TBSV,19.81,19.195,0.615,-0.100737101,agro
2,C12,52,8_10,DI73,TBSV_DI72,31.765,15.865,15.9,-0.098742138,agro
1,C03,18,8_1,DI73,TBSV,27.395,15.235,12.16,-0.097861842,agro
3,C12,1,8_10,DI73,TBSV_DI73,100,22.85,77.15,-0.089500972,agro
1,C11,31,3_23,DI73,TBSV,100,17.195,82.805,-0.088581607,agro
1,A12,3,8_10,DI73,TBSV_DI73,26.5,14.46,12.04,-0.083471761,agro
2,G09,37,8_1,DI73,TBSV_DI73,39,18.075,20.925,-0.082198327,agro
3,C09,31,8_1,DI73,TBSV,100,41.34,58.66,-0.079099898,agro
1,C08,15,3_23,DI73,TBSV,100,17.975,82.025,-0.075342883,agro
1,G10,31,4_9,DI73,TBSV_DI73,100,17.165,82.835,-0.067785356,agro
1,G03,23,4_9,DI73,TBSV_DI73,100,19.195,80.805,-0.066085019,agro
1,E12,2,4_9,DI73,TBSV,100,20.72,79.28,-0.06514884,agro
3,A12,46,8_10,DI73,TBSV,100,19.92,80.08,-0.062687313,agro
2,C03,24,8_1,DI73,TBSV_DI73,100,32.08,67.92,-0.060070671,agro
1,A08,12,4_9,DI73,TBSV,100,18.75,81.25,-0.058892308,agro
3,C12,3,8_1,DI73,TBSV_DI72,34.355,20.01,14.345,-0.057859881,agro
2,C03,53,8_10,DI73,TBSV,100,19.37,80.63,-0.050539501,agro
1,C08,20,4_9,DI73,TBSV,100,15.675,84.325,-0.047014527,agro
2,A11,2,3_23,DI73,TBSV,100,17.94,82.06,-0.044296856,agro
2,E09,44,8_10,DI73,TBSV_DI72,100,20.52,79.48,-0.043532964,agro
1,C12,12,8_10,DI73,TBSV_DI72,28.115,14.01,14.105,-0.041474654,agro
2,G03,14,4_9,DI73,TBSV_DI73,100,18.54,81.46,-0.04038792,agro
2,A12,46,8_1,DI73,TBSV,100,19.215,80.785,-0.035959646,agro
2,G02,20,8_1,DI72,TBSV_DI73,16.255,16.205,0.05,-0.034602076,agro
3,G05,11,4_9,DI73,TBSV,100,18.535,81.465,-0.030565273,agro
3,A09,12,8_1,DI73,TBSV,100,19.525,80.475,-0.029574402,agro
3,C08,20,3_23,DI73,TBSV,100,16.955,83.045,-0.029441869,agro
1,E03,7,4_9,DI73,TBSV_DI73,100,17.095,82.905,-0.029370967,agro
2,A08,25,4_9,DI73,TBSV,100,18.46,81.54,-0.029188129,agro
1,E06,54,8_10,DI73,TBSV_DI72,100,16.32,83.68,-0.029098948,agro
2,A09,32,8_1,DI73,TBSV,100,19.055,80.945,-0.028105504,agro
3,E06,49,8_1,DI73,TBSV_DI73,100,14.855,85.145,-0.02594985,agro
1,G03,41,8_10,DI73,TBSV_DI73,100,15.915,84.085,-0.018849973,agro
2,E03,22,4_9,DI73,TBSV_DI73,100,17.705,82.295,-0.018409381,agro
2,G04,30,4_9,DI73,TBSV_DI73,100,16.56,83.44,-0.017857143,agro
3,G09,2,8_1,DI73,TBSV_DI73,100,29.68,70.32,-0.016069397,agro
3,A08,16,3_23,DI73,TBSV,100,15.595,84.405,-0.013861738,agro
2,C11,29,4_9,DI73,TBSV,100,16.14,83.86,-0.009897448,agro
3,C10,15,4_9,DI73,TBSV_DI73,100,17.375,82.625,-0.005083207,agro
3,A03,32,4_9,DI73,TBSV_DI73,100,18.93,81.07,-0.003947206,agro
3,G04,19,3_23,DI73,TBSV_DI72,100,16.41,83.59,-0.003349683,agro
3,C06,21,8_1,DI73,TBSV,100,32.57,67.43,-0.002891888,agro
