timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwr_negddct,log_2pwr_negddct
2,B12,8,4_9,TBSV,TBSV,17.955,15.245,2.71,5.49725,0.022139248,-1.654837144
2,A09,16,4_9,TBSV,TBSV,19.005,16.11,2.895,5.68225,0.019474769,-1.710527693
2,C06,17,4_9,TBSV,TBSV,12.805,19.405,-6.6,-3.81275,14.05245218,1.147752116
2,B06,25,4_9,TBSV,TBSV,14.105,18.19,-4.085,-1.29775,2.45845168,0.390661677
2,C09,29,4_9,TBSV,TBSV,13.115,15.52,-2.405,0.38225,0.767240084,-0.115068716
2,D01,19,8_1,TBSV,TBSV,19.065,15.37,3.695,6.48225,0.011185317,-1.951351689
2,A07,32,8_1,TBSV,TBSV,14.2,16.56,-2.36,0.42725,0.743678,-0.128615066
2,C04,36,8_1,TBSV,TBSV,14.815,17.485,-2.67,0.11725,0.921943343,-0.035295767
2,B10,46,8_1,TBSV,TBSV,12.86,15.865,-3.005,-0.21775,1.162918506,0.065549282
2,C07,48,8_1,TBSV,TBSV,15.865,18.54,-2.675,0.11225,0.925144099,-0.033790617
2,B07,10,8_10,TBSV,TBSV,13.71,17.665,-3.955,-1.16775,2.246610464,0.351527777
2,C07,19,8_10,TBSV,TBSV,10.455,16.405,-5.95,-3.16275,8.955351131,0.952082619
2,B10,26,8_10,TBSV,TBSV,17.185,15.22,1.965,4.75225,0.037104809,-1.430569797
2,D04,42,8_10,TBSV,TBSV,12.965,18.85,-5.885,-3.09775,8.560825981,0.932515669
2,C01,53,8_10,TBSV,TBSV,13.145,18.26,-5.115,-2.32775,5.020217952,0.700722572
2,F02,11,3_23,DI72,TBSV_DI72,14.705,16.875,-2.17,0.61725,0.65191239,-0.185810765
2,H06,21,3_23,DI72,TBSV_DI72,17.845,17.47,0.375,3.16225,0.111703787,-0.951932104
2,G02,23,3_23,DI72,TBSV_DI72,17.615,15.67,1.945,4.73225,0.037622773,-1.424549197
2,F05,24,3_23,DI72,TBSV_DI72,13.255,16.19,-2.935,-0.14775,1.107840357,0.044477182
2,G09,33,3_23,DI72,TBSV_DI72,14.87,16.365,-1.495,1.29225,0.408313734,-0.389006012
2,E02,7,8_1,DI72,TBSV_DI72,15.745,15.63,0.115,2.90225,0.133762906,-0.873664305
2,C11,17,8_1,DI72,TBSV_DI72,16.235,17.09,-0.855,1.93225,0.26202021,-0.581665209
2,E05,23,8_1,DI72,TBSV_DI72,16.145,14.06,2.085,4.87225,0.034143387,-1.466693396
