timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,2pwrnegratio,log_2pwrnegratio
1,G06,14,8_10,DI73,TBSV_DI73,26.575,17.785,8.79,-2.87254902,7.323579813,0.864723419
1,A06,4,8_1,DI73,TBSV_DI73,27.135,17.99,9.145,-2.853354134,7.226785802,0.858945183
1,A07,12,4_9,DI72,TBSV,31.105,18.095,13.01,-2.718913271,6.583766959,0.81847445
3,G03,34,8_10,DI73,TBSV_DI73,39.62,24.14,15.48,-2.650684932,6.279653393,0.797935673
3,G06,11,4_9,DI72,TBSV,23.865,17.265,6.6,-2.65060241,6.279294209,0.797910832
2,G06,40,8_10,DI73,TBSV_DI73,30.39,17.99,12.4,-2.572614108,5.948863635,0.774434014
2,C11,3,3_23,DI73,TBSV,32.125,17.56,14.565,-2.568783069,5.933087538,0.773280756
2,G09,16,8_10,DI73,TBSV_DI73,26.62,16.65,9.97,-2.356973995,5.122947103,0.709519872
3,G09,7,8_10,DI73,TBSV_DI73,32.72,22.09,10.63,-2.331140351,5.032029399,0.70174317
2,C06,34,8_1,DI73,TBSV_DI73,29.66,19.335,10.325,-2.259299781,4.787590575,0.680117003
3,C09,13,8_10,DI73,TBSV,29.32,13.29,16.03,-2.257746479,4.782438707,0.679649413
3,H09,16,8_10,DI73,TBSV_DI73,26.54,17.04,9.5,-2.251184834,4.760736679,0.677674161
2,E03,39,8_10,DI73,TBSV_DI72,29.67,18.075,11.595,-2.173383318,4.510799989,0.654253571
1,C09,43,8_1,DI73,TBSV,26.925,17.905,9.02,-2.139976275,4.407547982,0.644197049
3,E06,15,8_10,DI73,TBSV_DI72,34.825,24.22,10.605,-2.016159696,4.045056057,0.606924544
2,C02,8,8_10,DI72,TBSV_DI73,29.11,18.97,10.14,-1.936962751,3.82898697,0.583083888
1,E05,13,8_1,DI72,TBSV_DI72,16.265,16.855,-0.59,-1.903225806,3.740486195,0.572928056
1,A12,14,8_1,DI73,TBSV,27.26,18.99,8.27,-1.85634119,3.62088207,0.55881438
1,C02,18,8_1,DI72,TBSV,16.1005,13.99,2.1105,-1.773529412,3.418893331,0.533885551
1,C06,26,8_1,DI73,TBSV,30.515,19.87,10.645,-1.743652744,3.348819793,0.524891778
1,A11,3,8_10,DI72,TBSV_DI73,17.5,15.76,1.74,-1.731343284,3.320368317,0.521186261
1,E03,28,3_23,DI73,TBSV_DI72,28.68,17.82,10.86,-1.673343606,3.189529463,0.503726618
1,G03,30,8_1,DI73,TBSV_DI73,24.57666667,19.05666667,5.52,-1.64940239,3.137036663,0.496519594
2,C08,19,8_10,DI72,TBSV,29.4,21.205,8.195,-1.639,3.114498764,0.493388163
2,G02,23,3_23,DI72,TBSV_DI72,19.485,15.67,3.815,-1.626865672,3.088412959,0.489735366
1,C08,22,8_10,DI72,TBSV,17.21,16.665,0.545,-1.453333333,2.738400258,0.437496927
1,G05,14,8_10,DI72,TBSV_DI73,22.875,18.575,4.3,-1.405228758,2.648597757,0.423016007
2,E08,44,8_10,DI72,TBSV_DI72,16.535,12.125,4.41,-1.274566474,2.419261088,0.38368274
3,C03,32,8_10,DI73,TBSV,35.825,24.265,11.56,-1.274531422,2.41920231,0.383672189
2,G03,25,8_10,DI73,TBSV_DI73,20.25,16.26,3.99,-1.201807229,2.300276406,0.361780025
2,C02,24,8_1,DI72,TBSV_DI73,21.11,16.235,4.875,-1.194852941,2.289214962,0.359686576
2,E05,49,8_10,DI72,TBSV_DI72,16.185,12.57,3.615,-1.185245902,2.274021511,0.356794569
2,C06,48,8_10,DI73,TBSV_DI73,18.825,15.99,2.835,-1.136272545,2.198123652,0.342052119
1,A08,51,8_1,DI72,TBSV,16.525,14.73,1.795,-0.983561644,1.977340936,0.296081557
3,H03,25,8_10,DI73,TBSV_DI73,20.31,16.29,4.02,-0.924137931,1.89755004,0.278193237
1,A09,38,8_10,DI73,TBSV_DI73,25.38,18.91,6.47,-0.89923558,1.8650775,0.270696883
2,C07,17,4_9,DI72,TBSV,22.375,17.97,4.405,-0.886317907,1.848452419,0.266808276
3,H02,25,8_10,DI72,TBSV_DI73,22.25,18.82,3.43,-0.788505747,1.727284523,0.237363882
2,E02,11,3_23,DI72,TBSV_DI72,16.27,16.875,-0.605,-0.75625,1.689094447,0.227653934
3,C11,1,8_10,DI72,TBSV_DI73,28.365,23.27,5.095,-0.737871108,1.667713086,0.222121336
2,G02,25,8_10,DI72,TBSV_DI73,22.08,19.67,2.41,-0.725903614,1.653936235,0.218518762
1,C08,43,8_1,DI72,TBSV,17.4,14.72,2.68,-0.635824437,1.553825439,0.191402227
3,C08,33,8_10,DI72,TBSV_DI73,27.375,17.51,9.865,-0.621613106,1.538594554,0.187124191
2,C11,17,8_1,DI72,TBSV_DI72,16.335,17.09,-0.755,-0.594488189,1.509936825,0.178958777
2,A11,26,8_10,DI72,TBSV,15.535,17.29,-1.755,-0.589915966,1.505159073,0.177582401
2,G06,21,3_23,DI72,TBSV_DI72,19.72,17.47,2.25,-0.588235294,1.503406654,0.177076468
2,A10,2,3_23,DI72,TBSV,20.52,18.51,2.01,-0.552957359,1.467089982,0.166456751
3,C07,20,3_23,DI72,TBSV,19.27,18.095,1.175,-0.480572597,1.395297342,0.144666767
3,E11,18,8_10,DI72,TBSV_DI72,17.605,19.1005,-1.4955,-0.427896996,1.345271157,0.128809831
2,C03,8,8_10,DI73,TBSV_DI73,19.285,17.095,2.19,-0.418338109,1.336387236,0.125932319
1,C11,11,8_1,DI72,TBSV_DI72,17.365,16.89,0.475,-0.368217054,1.290756671,0.110844378
2,A08,32,8_1,DI72,TBSV,17.88,17.15,0.73,-0.320879121,1.249091464,0.09659424
2,A07,10,3_23,DI72,TBSV,17.43,16.73,0.7,-0.313901345,1.243064662,0.094493721
3,E08,35,8_10,DI72,TBSV_DI72,18.44,20.085,-1.645,-0.22006689,1.16478759,0.066246735
2,C08,48,8_1,DI72,TBSV,17.23,16.75,0.48,-0.186407767,1.137926809,0.056114329
1,A02,35,8_1,DI72,TBSV_DI73,9.97,11.01,-1.04,-0.183259912,1.135446643,0.05516673
1,G09,2,8_10,DI73,TBSV_DI73,18.265,17.475,0.79,-0.174778761,1.12879129,0.05261365
3,C08,31,8_1,DI72,TBSV,19.125,18.415,0.71,-0.153017241,1.111892445,0.04606278
1,C05,26,8_1,DI72,TBSV,19.81,19.195,0.615,-0.100737101,1.072321192,0.030324889
2,G02,20,8_1,DI72,TBSV_DI73,16.255,16.205,0.05,-0.034602076,1.024274269,0.010416263
3,G06,29,8_10,DI73,TBSV_DI73,100,100,0,0,1,0
1,A10,33,4_9,DI72,TBSV,13.335,13.26,0.075,0.02617801,0.982018419,-0.007880366
1,E02,28,3_23,DI72,TBSV_DI72,20.505,20.715,-0.21,0.032357473,0.977821158,-0.00974057
2,G09,33,3_23,DI72,TBSV_DI72,16.37,16.365,0.005,0.037037037,0.974654609,-0.011149259
1,A05,4,8_1,DI72,TBSV_DI73,16.14,16.335,-0.195,0.060842434,0.958704139,-0.018315398
2,E02,39,8_10,DI72,TBSV_DI72,16.015,16.415,-0.4,0.07497657,0.949357539,-0.022570196
2,E05,24,3_23,DI72,TBSV_DI72,14.77,16.19,-1.42,0.118185601,0.921345648,-0.035577411
2,C10,3,3_23,DI72,TBSV,17.1005,17.775,-0.6745,0.118959436,0.920851589,-0.035810358
3,E02,27,8_1,DI72,TBSV_DI73,16.76,16.665,0.095,0.153225806,0.899237555,-0.046125564
3,E02,36,8_10,DI72,TBSV_DI72,33.095,19.695,13.4,0.161445783,0.894128579,-0.048600023
2,G11,37,8_10,DI72,neg_plt,29.61,14.88,14.73,0.168960771,0.88948318,-0.05086226
3,H11,37,8_10,DI72,neg_plt,30.06,15.21,14.85,0.170181068,0.888731132,-0.051229606
3,G05,29,8_1,DI72,TBSV_DI73,17.23,17.625,-0.395,0.174778761,0.885903363,-0.05261365
3,C11,21,8_10,DI72,TBSV_DI72,32.53,17.095,15.435,0.189189189,0.877098522,-0.056951621
3,E05,19,3_23,DI72,TBSV_DI72,16.58,16.64,-0.06,0.214285714,0.861972821,-0.064506428
1,E08,17,8_10,DI72,TBSV_DI72,17.565,18,-0.435,0.218045113,0.859729602,-0.065638119
1,C05,50,8_10,DI72,TBSV,13.605,12.41,1.195,0.218664227,0.859360739,-0.065824491
2,C02,53,8_10,DI72,TBSV,29.47,30.38,-0.91,0.223312883,0.856596161,-0.067223876
