timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwrneg_ddct,log_2pwrneg_ddct,method
1,G08,2,8_10,DI72,TBSV_DI73,100,22.97,77.03,25.243,2.52E-08,-7.598900181,agro
1,A12,3,8_10,DI73,TBSV_DI73,26.5,14.46,12.04,-59.115,6.24E+17,17.79538819,agro
1,G03,41,8_10,DI73,TBSV_DI73,100,15.915,84.085,12.93,0.000128139,-3.892317844,agro
1,G09,2,8_10,DI73,TBSV_DI73,18.265,17.475,0.79,-70.365,1.52E+21,21.18197564,agro
1,G06,14,8_10,DI73,TBSV_DI73,26.575,17.785,8.79,-62.365,5.94E+18,18.77373568,agro
1,A09,38,8_10,DI73,TBSV_DI73,25.38,18.91,6.47,-64.685,2.97E+19,19.47212527,agro
1,G01,41,8_10,TBSV,TBSV_DI73,13.27,14.855,-1.585,-0.174,1.128182137,0.052379219,agro
1,G04,14,8_10,TBSV,TBSV_DI73,12.435,15.495,-3.06,-1.649,3.136161816,0.496398463,agro
1,A10,3,8_10,TBSV,TBSV_DI73,15.01,16.015,-1.005,0.406,0.754712984,-0.122218178,agro
1,G07,2,8_10,TBSV,TBSV_DI73,12.365,16.885,-4.52,-3.109,8.627843454,0.935902257,agro
1,A07,38,8_10,TBSV,TBSV_DI73,12.775,19.97,-7.195,-5.784,55.10074805,1.741157495,agro
2,A05,na,3_23,DI72,neg_ctrl,32.92,12.27666667,20.64333333,,,,agro
2,A04,na,3_23,TBSV,neg_ctrl,41.49,38.51,2.98,,,,agro
2,A02,na,3_23,DI72,pos_ctrl,27.39666667,20.68666667,6.71,,,,agro
2,A03,na,3_23,DI73,pos_ctrl,31.55333333,22.51666667,9.036666667,,,,agro
2,A01,na,3_23,TBSV,pos_ctrl,34.30666667,25.78333333,8.523333333,,,,agro
2,A07,10,3_23,DI72,TBSV,17.43,16.73,0.7,-51.087,2.39E+15,15.37871939,agro
2,C07,12,3_23,DI72,TBSV,29.955,17.565,12.39,-39.397,7.24E+11,11.85967874,agro
2,C10,3,3_23,DI72,TBSV,17.1005,17.775,-0.6745,-52.4615,6.20E+15,15.79248512,agro
2,A10,2,3_23,DI72,TBSV,20.52,18.51,2.01,-49.777,9.65E+14,14.98437009,agro
2,A08,10,3_23,DI73,TBSV,100,16.46,83.54,12.385,0.000186958,-3.728256496,agro
2,C08,12,3_23,DI73,TBSV,36.78,17.195,19.585,-51.57,3.34E+15,15.52411688,agro
2,C11,3,3_23,DI73,TBSV,32.125,17.56,14.565,-56.59,1.08E+17,17.03528745,agro
2,A11,2,3_23,DI73,TBSV,100,17.94,82.06,10.905,0.000521516,-3.282732103,agro
2,C06,12,3_23,TBSV,TBSV,13.9425,17.6375,-3.695,-2.284,4.870264075,0.68755251,agro
2,A09,2,3_23,TBSV,TBSV,14.2,17.835,-3.635,-2.224,4.671869578,0.66949071,agro
2,A06,10,3_23,TBSV,TBSV,15.74,17.97,-2.23,-0.819,1.76418273,0.246543566,agro
2,C09,3,3_23,TBSV,TBSV,15.035,20.705,-5.67,-4.259,19.14638341,1.282086752,agro
2,G02,23,3_23,DI72,TBSV_DI72,19.485,15.67,3.815,-53.207,1.04E+16,16.01690298,agro
2,E05,24,3_23,DI72,TBSV_DI72,14.77,16.19,-1.42,-51.782,3.87E+15,15.58793524,agro
2,G09,33,3_23,DI72,TBSV_DI72,16.37,16.365,0.005,-52.392,5.91E+15,15.77156353,agro
2,E02,11,3_23,DI72,TBSV_DI72,16.27,16.875,-0.605,-49.537,8.17E+14,14.9121229,agro
2,G06,21,3_23,DI72,TBSV_DI72,19.72,17.47,2.25,32.708,1.43E-10,-9.846089098,agro
2,G03,23,3_23,DI73,TBSV_DI72,100,15.505,84.495,13.34,9.64E-05,-4.015740142,agro
2,E03,11,3_23,DI73,TBSV_DI72,30.435,16.52,13.915,-57.24,1.70E+17,17.23095695,agro
2,G10,33,3_23,DI73,TBSV_DI72,32.07,16.68,15.39,-55.765,6.12E+16,16.78693771,agro
2,G07,21,3_23,DI73,TBSV_DI72,34.28,17.015,17.265,-53.89,1.67E+16,16.22250647,agro
2,G08,33,3_23,TBSV,TBSV_DI72,15.23,15.095,0.135,1.546,0.342458245,-0.465392373,agro
2,G01,23,3_23,TBSV,TBSV_DI72,13.53,15.875,-2.345,-0.934,1.910565873,0.281162016,agro
2,F04,24,3_23,TBSV,TBSV_DI72,25.72,16.125,9.595,11.006,0.000486255,-3.313136132,agro
2,E01,11,3_23,TBSV,TBSV_DI72,17.42,16.62,0.8,2.211,0.215984547,-0.66557732,agro
2,E04,24,3_23,TBSV,TBSV_DI72,14.25,16.67,-2.42,-1.009,2.012515647,0.303739266,agro
2,G05,21,3_23,TBSV,TBSV_DI72,15.34,19.165,-3.825,-2.414,5.3294993,0.72668641,agro
2,A05,na,4_9,DI73,neg_ctrl,33.55333333,11.69333333,21.86,,,,agro
2,A04,na,4_9,TBSV,neg_ctrl,41.59666667,27.26666667,14.33,,,,agro
2,A02,na,4_9,DI72,pos_ctrl,34.34666667,20.57666667,13.77,,,,agro
2,A03,na,4_9,DI73,pos_ctrl,34.34666667,20.34666667,14,,,,agro
2,A01,na,4_9,TBSV,pos_ctrl,34.25333333,23.99666667,10.25666667,,,,agro
2,C12,8,4_9,DI72,TBSV,17.005,13.115,3.89,-47.897,2.62E+14,14.4184337,agro
2,A10,16,4_9,DI72,TBSV,17.41,14.23,3.18,-48.607,4.29E+14,14.632165,agro
2,C10,29,4_9,DI72,TBSV,21.315,14.32,6.995,-44.792,3.05E+13,13.48373557,agro
2,C07,17,4_9,DI72,TBSV,22.375,17.97,4.405,-47.382,1.83E+14,14.26340325,agro
2,A07,25,4_9,DI72,TBSV,26.75,18.115,8.635,-43.152,9.77E+12,12.99004637,agro
2,E12,8,4_9,DI73,TBSV,100,13.895,86.105,14.95,3.16E-05,-4.500398435,agro
2,A11,16,4_9,DI73,TBSV,100,15.41,84.59,13.435,9.03E-05,-4.044337992,agro
2,C11,29,4_9,DI73,TBSV,100,16.14,83.86,12.705,0.000149766,-3.824586095,agro
