timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwr_negddct,log_2pwr_negddct
1,D02,18,8_1,DI72,TBSV,16.455,13.99,2.465,-28.0325,274551204.6,8.438623353
1,D05,26,8_1,DI72,TBSV,19.845,19.195,0.65,-29.8475,966034853.5,8.984992796
1,C08,43,8_1,DI72,TBSV,17.4,14.72,2.68,-27.8175,236538535.9,8.373901904
1,A08,51,8_1,DI72,TBSV,16.525,14.73,1.795,-28.7025,436830999.8,8.640313451
1,B08,5,8_10,DI72,TBSV,45,15.605,29.395,-1.1025,2.147264629,0.33188557
1,D08,22,8_10,DI72,TBSV,16.12,16.665,-0.545,-31.0425,2211686874,9.34472364
1,D02,43,8_10,DI72,TBSV,28.715,18.09,10.625,-19.8725,959883.638,5.982218589
1,D05,50,8_10,DI72,TBSV,12.535,12.445,0.09,-30.4075,1424195447,9.153569593
1,A11,51,8_10,DI72,TBSV,45,13.88,31.12,0.6225,0.649544377,-0.187391172
1,D08,15,3_23,DI73,TBSV,32.795,17.975,14.82,-27.6725,213920573.9,8.330252555
1,A11,22,3_23,DI73,TBSV,28.795,13.225,15.57,-26.9225,127197934.3,8.104480058
1,E12,26,3_23,DI73,TBSV,34.29,14.915,19.375,-23.1175,9100409.283,6.959060925
1,B08,30,3_23,DI73,TBSV,40.25,11.875,28.375,-14.1175,17774.23688,4.249790964
1,D11,31,3_23,DI73,TBSV,32.395,17.195,15.2,-27.2925,164384610.4,8.215861157
1,E12,2,4_9,DI73,TBSV,45,20.72,24.28,-18.2125,303744.7611,5.482508796
1,A08,12,4_9,DI73,TBSV,45,18.75,26.25,-16.2425,77531.77104,4.889479705
1,D08,20,4_9,DI73,TBSV,30.145,15.675,14.47,-28.0225,272654740.9,8.435613053
1,C11,27,4_9,DI73,TBSV,24.185,16.325,7.86,-34.6325,26633075782,10.42542132
1,B11,33,4_9,DI73,TBSV,27.12,13.195,13.925,-28.5675,397808813.9,8.599674401
1,A12,14,8_1,DI73,TBSV,27.26,18.99,8.27,-34.2225,20044675347,10.30199903
1,D03,18,8_1,DI73,TBSV,27.395,15.235,12.16,-30.3325,1352048727,9.130992343
1,C06,26,8_1,DI73,TBSV,30.515,19.87,10.645,-31.8475,3864139414,9.587052787
1,D09,43,8_1,DI73,TBSV,26.925,17.905,9.02,-33.4725,11918635270,10.07622653
1,A09,51,8_1,DI73,TBSV,29.425,16.095,13.33,-29.1625,600879307.6,8.778787249
1,B09,5,8_10,DI73,TBSV,45,12.965,32.035,-10.4575,1406.116096,3.14802118
1,D09,22,8_10,DI73,TBSV,36.395,25.565,10.83,-31.6625,3399086665,9.531362238
1,D03,43,8_10,DI73,TBSV,45,16.215,28.785,-13.7075,13377.30613,4.126368666
1,D06,50,8_10,DI73,TBSV,28.195,11.065,17.13,-25.3625,43139317.01,7.634873265
1,B12,51,8_10,DI73,TBSV,45,11.595,33.405,-9.0875,544.0140117,2.735610086
1,D06,15,3_23,TBSV,TBSV,12.095,19.95,-7.855,-46.16125,7.86902E+13,13.89592089
1,B09,22,3_23,TBSV,TBSV,11.93,14.395,-2.465,-40.77125,1.87659E+12,12.27336921
1,A12,26,3_23,TBSV,TBSV,12.715,16.59,-3.875,-42.18125,4.98679E+12,12.6978215
1,A06,30,3_23,TBSV,TBSV,19.355,12.16,7.195,-31.11125,2319633930,9.365419453
1,C09,31,3_23,TBSV,TBSV,11.67,20.815,-9.145,-47.45125,1.9242E+14,14.28424958
1,B12,2,4_9,TBSV,TBSV,14.15,20.88,-6.73,-45.03625,3.60796E+13,13.55726214
1,B06,12,4_9,TBSV,TBSV,13.13,19.605,-6.475,-44.78125,3.02343E+13,13.48049949
1,D06,20,4_9,TBSV,TBSV,11.935,17.065,-5.13,-43.43625,1.19018E+13,13.07561415
1,C09,27,4_9,TBSV,TBSV,12.91,16.69,-3.78,-42.08625,4.669E+12,12.66922366
1,A09,33,4_9,TBSV,TBSV,14.815,13.615,1.2,-37.10625,1.47943E+11,11.17009428
1,A10,14,8_1,TBSV,TBSV,13.38,17.835,-4.455,-42.76125,7.45451E+12,12.8724189
1,D01,18,8_1,TBSV,TBSV,13.72,14.945,-1.225,-39.53125,7.94497E+11,11.90009202
1,D04,26,8_1,TBSV,TBSV,12.425,18.53,-6.105,-44.41125,2.33947E+13,13.36911839
1,D07,43,8_1,TBSV,TBSV,12.595,16.81,-4.215,-42.52125,6.31207E+12,12.8001717
1,A07,51,8_1,TBSV,TBSV,14.11,15.935,-1.825,-40.13125,1.20423E+12,12.08071001
1,A07,5,8_10,TBSV,TBSV,12.03,12.33,-0.3,-38.60625,4.18446E+11,11.62163927
1,D07,22,8_10,TBSV,TBSV,14.315,15.735,-1.42,-39.72625,9.09479E+11,11.95879287
1,C01,43,8_10,TBSV,TBSV,11.445,14.8,-3.355,-41.66125,3.47765E+12,12.54128591
1,D04,50,8_10,TBSV,TBSV,14.865,10.475,4.39,-33.91625,16210954635,10.20980859
1,B10,51,8_10,TBSV,TBSV,11.63,11.805,-0.175,-38.48125,3.83717E+11,11.58401052
1,H09,9,3_23,DI72,TBSV_DI72,20.69,13.955,6.735,-23.7625,14230667.52,7.153225272
1,G02,25,3_23,DI72,TBSV_DI72,13.225,13.93,-0.705,-31.2025,2471089297,9.39288844
1,H06,27,3_23,DI72,TBSV_DI72,45,14.375,30.625,0.1275,0.915416372,-0.038381324
1,E02,28,3_23,DI72,TBSV_DI72,18.245,20.715,-2.47,-32.9675,8398590030,9.924206382
1,E05,32,3_23,DI72,TBSV_DI72,14.43,19.17,-4.74,-35.2375,40508342398,10.60754447
1,E02,5,8_1,DI72,TBSV_DI72,16.145,15.67,0.475,-30.0225,1090618963,9.037673045
1,E11,10,8_1,DI72,TBSV_DI72,17.515,18.335,-0.82,-31.3175,2676128044,9.427506889
